Date,Details,Debit,Credit,Balance
01/05/2026,STO RENT LANDLORD,1450.00,,950.00
02/05/2026,POS TESCO STORES 4321,24.62,,925.38
02/05/2026,POS LIDL LIMERICK,51.69,,873.69
02/05/2026,CAFFE NERO,5.24,,868.45
03/05/2026,DD ELECTRIC IRELAND,118.40,,750.05
03/05/2026,POS LIDL LIMERICK,38.45,,711.60
03/05/2026,PENNEYS,21.49,,690.11
04/05/2026,POS LIDL LIMERICK,57.48,,632.63
04/05/2026,VDP-SUPERVALU ENNIS,29.98,,602.65
05/05/2026,FLYEFIT,29.00,,573.65
06/05/2026,TRANSFER TO SAVINGS,400.00,,173.65
06/05/2026,DD VODAFONE IRELAND,35.00,,138.65
06/05/2026,CAFFE NERO,3.54,,135.11
08/05/2026,VDP-SUPERVALU ENNIS,11.63,,123.48
08/05/2026,UBER *TRIP,9.31,,114.17
09/05/2026,NETFLIX.COM,17.99,,96.18
10/05/2026,UBER *TRIP,16.40,,79.78
12/05/2026,SPOTIFY,10.99,,68.79
12/05/2026,POS TESCO STORES 4321,62.87,,5.92
12/05/2026,CAFFE NERO,3.52,,2.40
12/05/2026,DELIVEROO,25.19,,-22.79
13/05/2026,VDP-SUPERVALU ENNIS,11.74,,-34.53
14/05/2026,POS LIDL LIMERICK,15.35,,-49.88
14/05/2026,VDP-SUPERVALU ENNIS,15.05,,-64.93
15/05/2026,DD VHI HEALTHCARE,96.50,,-161.43
18/05/2026,CAFFE NERO,5.89,,-167.32
18/05/2026,RYANAIR,128.76,,-296.08
19/05/2026,CAFFE NERO,5.31,,-301.39
19/05/2026,DELIVEROO,40.16,,-341.55
20/05/2026,DD EIR BROADBAND,49.99,,-391.54
21/05/2026,POS TESCO STORES 4321,21.72,,-413.26
21/05/2026,POS LIDL LIMERICK,42.12,,-455.38
23/05/2026,CAFFE NERO,3.41,,-458.79
25/05/2026,SALARY ACME LTD,,3850.00,3391.21
25/05/2026,DELIVEROO,25.54,,3365.67
27/05/2026,POS TESCO STORES 4321,59.26,,3306.41
28/05/2026,VDP-SUPERVALU ENNIS,14.66,,3291.75
29/05/2026,UBER *TRIP,13.50,,3278.25
30/05/2026,POS TESCO STORES 4321,57.07,,3221.18
01/06/2026,STO RENT LANDLORD,1450.00,,1771.18
02/06/2026,UBER *TRIP,15.31,,1755.87
03/06/2026,DD ELECTRIC IRELAND,118.40,,1637.47
03/06/2026,POS TESCO STORES 4321,82.68,,1554.79
04/06/2026,BOOTS PHARMACY,8.01,,1546.78
04/06/2026,ODEON CINEMA,27.28,,1519.50
05/06/2026,CAFFE NERO,5.64,,1513.86
05/06/2026,CAFFE NERO,5.90,,1507.96
05/06/2026,CAFFE NERO,3.47,,1504.49
05/06/2026,CAFFE NERO,3.97,,1500.52
05/06/2026,STARBUCKS DUBLIN,5.22,,1495.30
05/06/2026,DELIVEROO,34.57,,1460.73
05/06/2026,BOOTS PHARMACY,25.17,,1435.56
06/06/2026,TRANSFER TO SAVINGS,400.00,,1035.56
06/06/2026,DD VODAFONE IRELAND,35.00,,1000.56
06/06/2026,CAFFE NERO,4.68,,995.88
08/06/2026,STARBUCKS DUBLIN,3.84,,992.04
09/06/2026,NETFLIX.COM,17.99,,974.05
09/06/2026,POS TESCO STORES 4321,54.51,,919.54
09/06/2026,STARBUCKS DUBLIN,4.76,,914.78
09/06/2026,ATM WITHDRAWAL,97.77,,817.01
11/06/2026,POS TESCO STORES 4321,44.19,,772.82
11/06/2026,PENNEYS,48.04,,724.78
12/06/2026,SPOTIFY,10.99,,713.79
12/06/2026,POS TESCO STORES 4321,63.77,,650.02
12/06/2026,CAFFE NERO,5.45,,644.57
12/06/2026,BOOTS PHARMACY,27.64,,616.93
13/06/2026,CAFFE NERO,4.49,,612.44
13/06/2026,CAFFE NERO,6.36,,606.08
13/06/2026,CIRCLE K,58.93,,547.15
13/06/2026,CIRCLE K,48.62,,498.53
13/06/2026,FLYEFIT,29.00,,469.53
15/06/2026,DD VHI HEALTHCARE,96.50,,373.03
15/06/2026,POS LIDL LIMERICK,29.06,,343.97
15/06/2026,PENNEYS,23.93,,320.04
17/06/2026,UBER *TRIP,23.20,,296.84
18/06/2026,CAFFE NERO,4.12,,292.72
19/06/2026,POS TESCO STORES 4321,79.36,,213.36
20/06/2026,DD EIR BROADBAND,49.99,,163.37
20/06/2026,VDP-SUPERVALU ENNIS,14.10,,149.27
21/06/2026,POS TESCO STORES 4321,62.50,,86.77
21/06/2026,UBER *TRIP,18.82,,67.95
21/06/2026,CIRCLE K,59.02,,8.93
22/06/2026,POS TESCO STORES 4321,23.00,,-14.07
22/06/2026,POS LIDL LIMERICK,28.66,,-42.73
23/06/2026,POS LIDL LIMERICK,30.52,,-73.25
23/06/2026,CAFFE NERO,4.57,,-77.82
24/06/2026,POS TESCO STORES 4321,72.01,,-149.83
25/06/2026,SALARY ACME LTD,,3850.00,3700.17
27/06/2026,STARBUCKS DUBLIN,5.80,,3694.37
28/06/2026,CAFFE NERO,4.84,,3689.53
28/06/2026,CAFFE NERO,5.02,,3684.51
28/06/2026,UBER *TRIP,20.48,,3664.03
01/07/2026,STO RENT LANDLORD,1450.00,,2214.03
01/07/2026,POS LIDL LIMERICK,48.39,,2165.64
01/07/2026,DELIVEROO,36.96,,2128.68
03/07/2026,DD ELECTRIC IRELAND,118.40,,2010.28
03/07/2026,CIRCLE K,52.72,,1957.56
05/07/2026,POS TESCO STORES 4321,25.87,,1931.69
06/07/2026,TRANSFER TO SAVINGS,400.00,,1531.69
06/07/2026,DD VODAFONE IRELAND,35.00,,1496.69
06/07/2026,POS TESCO STORES 4321,57.76,,1438.93
07/07/2026,POS TESCO STORES 4321,91.23,,1347.70
08/07/2026,CAFFE NERO,3.86,,1343.84
08/07/2026,CIRCLE K,61.45,,1282.39
09/07/2026,NETFLIX.COM,17.99,,1264.40
10/07/2026,POS LIDL LIMERICK,58.97,,1205.43
11/07/2026,POS TESCO STORES 4321,75.01,,1130.42
11/07/2026,VDP-SUPERVALU ENNIS,32.28,,1098.14
11/07/2026,CIRCLE K,52.15,,1045.99
12/07/2026,SPOTIFY,10.99,,1035.00
13/07/2026,CAFFE NERO,5.64,,1029.36
13/07/2026,RYANAIR,153.88,,875.48
15/07/2026,DD VHI HEALTHCARE,96.50,,778.98
16/07/2026,POS TESCO STORES 4321,42.01,,736.97
16/07/2026,POS TESCO STORES 4321,81.82,,655.15
16/07/2026,DELIVEROO,24.22,,630.93
17/07/2026,POS TESCO STORES 4321,45.85,,585.08
18/07/2026,VDP-SUPERVALU ENNIS,37.27,,547.81
20/07/2026,DD EIR BROADBAND,49.99,,497.82
20/07/2026,CAFFE NERO,5.88,,491.94
21/07/2026,BOOTS PHARMACY,19.01,,472.93
23/07/2026,POS TESCO STORES 4321,59.82,,413.11
23/07/2026,DELIVEROO,32.52,,380.59
24/07/2026,UBER *TRIP,23.81,,356.78
25/07/2026,SALARY ACME LTD,,3850.00,4206.78
